date,sku_id,units_sold,revenue,unit_price,promo_flag
2025-10-16,SKU-059,10.0,1725.0,172.5,1
2024-05-28,SKU-007,5.0,2101.85,420.37,0
2025-12-29,SKU-024,7.0,204.26,29.18,0
2026-05-12,SKU-059,7.0,1547.42,221.06,0
2024-12-02,SKU-008,1.0,371.2,371.2,0
2024-06-18,SKU-025,16.0,1456.8,91.05,0
2024-08-23,SKU-038,4.0,332.48,83.12,0
2026-02-15,SKU-042,10.0,572.0,57.2,0
2025-12-07,SKU-055,1.0,188.97,188.97,0
2025-05-23,SKU-048,3.0,446.52,148.84,1
2025-04-27,SKU-052,3.0,663.72,221.24,0
2026-05-21,SKU-053,14.0,1207.36,86.24,0
2024-01-10,SKU-018,12.0,908.4,75.7,0
2025-06-14,SKU-049,1.0,139.33,139.33,0
2024-09-06,SKU-045,4.0,720.24,180.06,0
2024-12-12,SKU-052,2.0,442.48,221.24,0
2025-11-28,SKU-050,0.0,0.0,152.48,1
2024-08-09,SKU-004,4.0,1521.36,380.34,0
2024-07-23,SKU-034,10.0,400.8,40.08,0
2024-04-25,SKU-007,16.0,6725.92,420.37,0
2026-02-18,SKU-032,20.0,1540.6,77.03,1
2024-06-13,SKU-025,9.0,819.45,91.05,0
2026-01-31,SKU-060,4.0,774.52,193.63,0
2026-05-04,SKU-044,2.0,250.04,125.02,0
2025-06-02,SKU-048,5.0,883.7,176.74,0
2024-09-09,SKU-016,27.0,680.67,25.21,1
2025-03-23,SKU-036,6.0,290.58,48.43,0
2024-07-22,SKU-008,1.0,371.2,371.2,0
2026-03-07,SKU-015,6.0,348.18,58.03,0
2026-02-27,SKU-005,1.0,490.6,490.6,0
2024-05-02,SKU-011,3.0,662.52,220.84,0
2026-08-21,SKU-039,2.0,153.08,76.54,0
2025-09-17,SKU-017,0.0,0.0,44.17,0
2024-05-14,SKU-007,9.0,3783.33,420.37,0
2025-06-09,SKU-007,4.0,1681.48,420.37,0
2024-06-11,SKU-033,7.0,465.92,66.56,0
2026-04-01,SKU-042,8.0,457.6,57.2,0
2025-11-07,SKU-001,3.0,555.09,185.03,0
2025-02-23,SKU-059,1.0,221.06,221.06,0
2024-04-24,SKU-020,4.0,274.28,68.57,0
2024-12-08,SKU-021,5.0,229.25,45.85,0
2025-02-03,SKU-003,7.0,1875.65,267.95,0
2024-11-08,SKU-043,16.0,2591.84,161.99,0
2025-07-24,SKU-051,4.0,236.16,59.04,0
2025-01-31,SKU-052,2.0,442.48,221.24,0
2025-12-20,SKU-026,9.0,585.0,65.0,1
2025-05-11,SKU-013,9.0,718.11,79.79,0
2025-03-30,SKU-039,1.0,76.54,76.54,0
2026-08-25,SKU-001,3.0,555.09,185.03,0
2025-08-06,SKU-012,4.0,916.8,229.2,0
2024-06-07,SKU-033,0.0,798.72,66.56,0
2026-06-05,SKU-031,12.0,1709.76,142.48,0
2025-08-27,SKU-033,11.0,732.16,66.56,0
2025-09-28,SKU-034,16.0,641.28,40.08,0
2024-07-04,SKU-038,6.0,430.8,71.8,1
2025-03-18,SKU-057,2.0,147.12,73.56,1
2025-10-29,SKU-054,2.0,434.6,217.3,0
2024-11-12,SKU-048,5.0,883.7,176.74,0
2024-11-21,SKU-031,13.0,1852.24,142.48,0
2026-04-27,SKU-027,4.0,138.44,34.61,0
2025-09-14,SKU-058,4.0,1382.36,345.59,0
2025-11-05,SKU-009,1.0,148.6,148.6,0
2024-12-19,SKU-025,26.0,1967.42,75.67,1
2024-08-04,SKU-051,3.0,177.12,59.04,0
2026-07-15,SKU-059,4.0,884.24,221.06,0
2025-06-28,SKU-040,1.0,43.75,43.75,0
2026-08-09,SKU-058,4.0,1382.36,345.59,0
2026-05-18,SKU-056,1.0,216.25,216.25,0
2025-05-14,SKU-022,15.0,952.8,63.52,0
2025-10-21,SKU-054,4.0,869.2,217.3,0
2026-07-23,SKU-014,7.0,124.95,17.85,0
2024-06-11,SKU-031,12.0,1709.76,142.48,0
2025-04-08,SKU-028,1.0,26.65,26.65,0
2024-08-22,SKU-052,10.0,2212.4,221.24,0
2026-02-05,SKU-026,4.0,297.08,74.27,0
2025-11-25,SKU-008,1.0,289.65,289.65,1
2026-05-20,SKU-048,2.0,353.48,176.74,0
2026-08-24,SKU-046,1.0,90.79,90.79,0
2025-02-12,SKU-021,2.0,91.7,45.85,0
2026-04-11,SKU-008,3.0,1113.6,371.2,0
2024-07-01,SKU-058,9.0,2373.57,263.73,1
2025-05-27,SKU-026,9.0,507.96,56.44,1
2025-04-07,SKU-041,0.0,0.0,59.71,0
2025-10-31,SKU-017,1.0,44.17,44.17,0
2025-12-14,SKU-051,2.0,118.08,59.04,0
2025-01-30,SKU-018,8.0,605.6,75.7,0
2024-08-15,SKU-027,4.0,103.92,25.98,1
2024-07-01,SKU-021,6.0,212.4,35.4,1
2024-03-18,SKU-044,4.0,418.44,104.61,1
2025-11-21,SKU-027,8.0,276.88,34.61,0
2026-06-26,SKU-037,4.0,277.2,69.3,0
2024-10-06,SKU-032,15.0,1405.65,93.71,0
2024-06-29,SKU-027,1.0,34.61,34.61,0
2025-03-24,SKU-010,6.0,3553.44,592.24,0
2024-04-12,SKU-015,4.0,232.12,58.03,0
2026-05-06,SKU-017,1.0,44.17,44.17,0
2026-03-17,SKU-010,4.0,1963.16,490.79,1
2026-04-16,SKU-008,2.0,742.4,371.2,0
2024-06-01,SKU-038,0.0,166.24,83.12,0
2026-08-02,SKU-022,11.0,698.72,63.52,0
2024-06-03,SKU-014,16.0,285.6,17.85,0
2024-11-08,SKU-018,7.0,529.9,75.7,0
2025-01-15,SKU-010,1.0,592.24,592.24,0
2025-08-03,SKU-001,3.0,555.09,185.03,0
2024-02-26,SKU-026,6.0,445.62,74.27,0
2026-01-17,SKU-044,3.0,375.06,125.02,0
2026-04-17,SKU-050,1.0,200.32,200.32,0
2026-02-06,SKU-058,2.0,691.18,345.59,0
2025-03-09,SKU-040,2.0,87.5,43.75,0
2025-04-27,SKU-048,1.0,176.74,176.74,0
2026-02-19,SKU-043,9.0,1457.91,161.99,0
2026-06-28,SKU-005,3.0,1471.8,490.6,0
2024-04-10,SKU-015,10.0,580.3,58.03,0
2025-02-20,SKU-001,2.0,370.06,185.03,0
2025-04-04,SKU-051,4.0,236.16,59.04,0
2025-01-09,SKU-008,2.0,742.4,371.2,0
2026-03-26,SKU-042,12.0,686.4,57.2,0
2026-07-14,SKU-014,18.0,321.3,17.85,0
2024-04-04,SKU-014,16.0,285.6,17.85,0
2024-12-11,SKU-044,5.0,625.1,125.02,0
2026-03-31,SKU-009,1.0,148.6,148.6,0
2025-07-29,SKU-035,2.0,78.04,39.02,0
2024-05-28,SKU-024,6.0,175.08,29.18,0
2024-10-18,SKU-003,11.0,2947.45,267.95,0
2025-11-02,SKU-044,4.0,500.08,125.02,0
2025-02-17,SKU-046,2.0,143.64,71.82,1
2024-08-01,SKU-001,2.0,370.06,185.03,0
2025-05-14,SKU-046,1.0,90.79,90.79,0
2025-10-25,SKU-032,19.0,1780.49,93.71,0
2025-01-04,SKU-033,11.0,732.16,66.56,0
2026-05-08,SKU-006,9.0,1299.06,144.34,0
2024-03-07,SKU-058,2.0,691.18,345.59,0
2024-01-09,SKU-019,4.0,302.28,75.57,0
2024-07-12,SKU-057,2.0,166.68,83.34,0
2024-04-28,SKU-004,1.0,380.34,380.34,0
2024-02-24,SKU-038,1.0,83.12,83.12,0
2025-02-12,SKU-052,2.0,442.48,221.24,0
2026-05-20,SKU-031,0.0,427.44,142.48,0
2024-05-14,SKU-036,17.0,823.31,48.43,0
2024-12-28,SKU-005,2.0,981.2,490.6,0
2025-12-02,SKU-032,17.0,1593.07,93.71,0
2024-03-17,SKU-007,23.0,7368.51,320.37,1
2025-10-30,SKU-002,2.0,368.72,184.36,0
2025-09-08,SKU-055,3.0,488.37,162.79,1
2025-07-18,SKU-040,3.0,131.25,43.75,0
2025-04-01,SKU-010,6.0,3553.44,592.24,0
2026-02-18,SKU-015,9.0,440.37,48.93,1
2025-09-22,SKU-020,4.0,274.28,68.57,0
2025-10-24,SKU-026,7.0,519.89,74.27,0
2025-05-04,SKU-023,1.0,73.13,73.13,0
2024-10-01,SKU-019,5.0,377.85,75.57,0
2025-05-25,SKU-023,1.0,73.13,73.13,0
2024-08-02,SKU-036,10.0,484.3,48.43,0
2025-05-09,SKU-026,8.0,594.16,74.27,0
2026-01-31,SKU-046,1.0,90.79,90.79,0
2025-10-12,SKU-057,6.0,402.48,67.08,1
2025-04-14,SKU-030,1.0,35.99,35.99,0
2025-02-17,SKU-059,2.0,393.94,196.97,1
2025-12-18,SKU-026,15.0,914.7,60.98,1
2024-02-23,SKU-027,4.0,138.44,34.61,0
2024-10-12,SKU-027,8.0,232.64,29.08,1
2026-03-14,SKU-009,2.0,297.2,148.6,0
2025-09-20,SKU-051,2.0,118.08,59.04,0
2025-06-11,SKU-045,1.0,180.06,180.06,0
2024-08-07,SKU-045,2.0,360.12,180.06,0
2026-02-08,SKU-036,15.0,726.45,48.43,0
2025-10-08,SKU-032,13.0,1218.23,93.71,0
2025-12-18,SKU-049,3.0,324.84,108.28,1
2025-06-11,SKU-036,10.0,484.3,48.43,0
2025-10-24,SKU-028,2.0,53.3,26.65,0
2024-11-20,SKU-021,4.0,183.4,45.85,0
2026-04-05,SKU-012,2.0,458.4,229.2,0
2026-04-08,SKU-029,4.0,361.48,90.37,0
2024-05-03,SKU-040,1.0,43.75,43.75,0
2024-09-30,SKU-028,2.0,53.3,26.65,0
2024-01-25,SKU-015,10.0,580.3,58.03,0
2024-01-15,SKU-044,3.0,375.06,125.02,0
2025-06-03,SKU-059,4.0,884.24,221.06,0
2026-05-29,SKU-053,18.0,1273.86,70.77,1
2024-12-30,SKU-033,14.0,931.84,66.56,0
2025-04-23,SKU-015,7.0,406.21,58.03,0
2024-09-26,SKU-007,12.0,5044.44,420.37,0
2025-10-22,SKU-004,3.0,1141.02,380.34,0
2025-05-31,SKU-012,4.0,783.76,195.94,1
2025-01-01,SKU-013,34.0,2100.52,61.78,1
2024-08-04,SKU-014,11.0,196.35,17.85,0
2024-12-10,SKU-010,0.0,1184.48,592.24,0
2026-07-22,SKU-015,5.0,290.15,58.03,0
2025-06-03,SKU-036,11.0,532.73,48.43,0
2025-07-19,SKU-029,1.0,90.37,90.37,0
2025-05-30,SKU-043,9.0,1457.91,161.99,0
2025-10-01,SKU-053,15.0,1293.6,86.24,0
2026-02-13,SKU-044,1.0,125.02,125.02,0
2026-05-07,SKU-027,2.0,69.22,34.61,0
2024-02-02,SKU-032,8.0,749.68,93.71,0
2025-08-30,SKU-006,8.0,1154.72,144.34,0
2025-03-28,SKU-006,10.0,1443.4,144.34,0
2024-01-22,SKU-014,10.0,178.5,17.85,0
2024-04-08,SKU-005,4.0,1962.4,490.6,0
2025-08-22,SKU-058,5.0,1727.95,345.59,0
2024-12-27,SKU-058,2.0,691.18,345.59,0
2024-05-01,SKU-052,5.0,1106.2,221.24,0
2026-03-07,SKU-037,1.0,69.3,69.3,0
2024-02-17,SKU-051,2.0,91.7,45.85,1
2025-02-16,SKU-051,2.0,118.08,59.04,0
2025-09-16,SKU-034,12.0,480.96,40.08,0
2025-03-11,SKU-060,6.0,1161.78,193.63,0
2024-05-05,SKU-006,8.0,1154.72,144.34,0
2026-02-03,SKU-043,11.0,1781.89,161.99,0
2025-07-17,SKU-045,1.0,180.06,180.06,0
2026-05-12,SKU-019,3.0,226.71,75.57,0
2024-04-16,SKU-025,6.0,546.3,91.05,0
2025-06-20,SKU-032,16.0,1499.36,93.71,0
2024-02-17,SKU-034,28.0,995.96,35.57,1
2025-01-03,SKU-005,5.0,1895.4,379.08,1
2026-05-11,SKU-058,1.0,345.59,345.59,0
2024-05-21,SKU-057,4.0,333.36,83.34,0
2025-09-21,SKU-045,1.0,180.06,180.06,0
2025-03-17,SKU-058,8.0,2253.36,281.67,1
2025-07-04,SKU-003,12.0,2797.68,233.14,1
2025-04-07,SKU-015,4.0,232.12,58.03,0
2024-07-05,SKU-051,4.0,211.44,52.86,1
2025-06-19,SKU-054,3.0,651.9,217.3,0
2024-06-09,SKU-052,3.0,663.72,221.24,0
2026-08-25,SKU-020,5.0,342.85,68.57,0
2025-02-22,SKU-053,8.0,689.92,86.24,0
2026-08-22,SKU-043,10.0,1619.9,161.99,0
2025-05-07,SKU-020,12.0,822.84,68.57,0
2026-06-06,SKU-038,2.0,166.24,83.12,0
2026-08-30,SKU-027,9.0,311.49,34.61,0
2026-03-19,SKU-032,17.0,1328.38,78.14,1
2025-06-22,SKU-010,3.0,1776.72,592.24,0
2026-01-22,SKU-009,0.0,0.0,148.6,0
2024-01-25,SKU-048,5.0,883.7,176.74,0
2024-06-24,SKU-015,1.0,58.03,58.03,0
2025-07-25,SKU-001,2.0,370.06,185.03,0
2024-02-14,SKU-001,3.0,451.5,150.5,1
2024-12-09,SKU-008,1.0,371.2,371.2,0
2024-04-04,SKU-037,4.0,277.2,69.3,0
2025-12-17,SKU-013,16.0,965.76,60.36,1
2025-12-25,SKU-001,1.0,151.42,151.42,1
2024-08-20,SKU-031,10.0,1256.9,125.69,1
2024-07-03,SKU-042,8.0,380.32,47.54,1
2024-12-16,SKU-043,28.0,3985.52,142.34,1
2024-08-05,SKU-047,1.0,46.3,46.3,0
2024-09-17,SKU-059,4.0,884.24,221.06,0
2026-04-13,SKU-033,11.0,732.16,66.56,0
2025-05-20,SKU-030,3.0,107.97,35.99,0
2024-09-23,SKU-019,2.0,151.14,75.57,0
2024-12-02,SKU-020,7.0,479.99,68.57,0
2024-10-01,SKU-060,7.0,1355.41,193.63,0
2025-03-16,SKU-057,0.0,140.5,70.25,1
2026-04-16,SKU-044,1.0,125.02,125.02,0
2024-10-28,SKU-018,5.0,378.5,75.7,0
2026-02-09,SKU-001,1.0,185.03,185.03,0
2026-05-10,SKU-030,1.0,35.99,35.99,0
2025-10-25,SKU-027,4.0,138.44,34.61,0
2025-07-22,SKU-042,4.0,228.8,57.2,0
2026-07-27,SKU-058,6.0,2073.54,345.59,0
2026-08-04,SKU-024,5.0,145.9,29.18,0
2026-03-02,SKU-010,2.0,1184.48,592.24,0
2024-12-04,SKU-060,4.0,774.52,193.63,0
2025-11-02,SKU-009,1.0,148.6,148.6,0
2025-10-08,SKU-006,14.0,2020.76,144.34,0
2025-01-27,SKU-048,8.0,1413.92,176.74,0
2024-07-23,SKU-056,3.0,648.75,216.25,0
2025-05-25,SKU-001,1.0,185.03,185.03,0
2026-08-02,SKU-028,2.0,53.3,26.65,0
2024-11-11,SKU-010,2.0,1184.48,592.24,0
2026-08-03,SKU-032,14.0,1311.94,93.71,0
2025-03-29,SKU-003,7.0,1875.65,267.95,0
2025-07-04,SKU-057,3.0,187.68,62.56,1
2026-01-31,SKU-035,1.0,39.02,39.02,0
2025-02-15,SKU-018,6.0,454.2,75.7,0
2024-07-31,SKU-011,1.0,220.84,220.84,0
2025-09-05,SKU-035,3.0,97.5,32.5,1
2025-08-16,SKU-010,11.0,5674.57,515.87,1
2025-01-16,SKU-037,2.0,138.6,69.3,0
2025-01-22,SKU-024,3.0,87.54,29.18,0
2025-10-03,SKU-033,9.0,599.04,66.56,0
2026-01-04,SKU-019,4.0,302.28,75.57,0
2024-01-10,SKU-019,2.0,151.14,75.57,0
2025-10-19,SKU-044,5.0,625.1,125.02,0
2026-05-15,SKU-015,7.0,406.21,58.03,0
2024-11-10,SKU-038,4.0,332.48,83.12,0
2026-06-12,SKU-006,12.0,1732.08,144.34,0
2024-10-08,SKU-012,8.0,1833.6,229.2,0
2024-01-16,SKU-044,6.0,750.12,125.02,0
2025-03-31,SKU-048,11.0,1944.14,176.74,0
2025-08-12,SKU-044,3.0,304.02,101.34,1
2025-06-25,SKU-019,5.0,377.85,75.57,0
2024-10-19,SKU-008,3.0,1113.6,371.2,0
2025-11-30,SKU-036,26.0,999.7,38.45,1
2026-04-04,SKU-035,2.0,78.04,39.02,0
2026-04-17,SKU-010,3.0,1776.72,592.24,0
2025-11-27,SKU-031,25.0,2974.75,118.99,1
2024-04-12,SKU-048,6.0,1060.44,176.74,0
2025-04-21,SKU-006,10.0,1443.4,144.34,0
2024-12-19,SKU-038,7.0,517.44,73.92,1
2025-01-14,SKU-034,18.0,721.44,40.08,0
2026-06-30,SKU-052,11.0,2433.64,221.24,0
2024-04-25,SKU-005,2.0,981.2,490.6,0
2025-07-21,SKU-032,20.0,1874.2,93.71,0
2025-11-20,SKU-048,9.0,1590.66,176.74,0
2024-06-13,SKU-010,4.0,2368.96,592.24,0
2024-04-03,SKU-006,14.0,2020.76,144.34,0
2025-09-16,SKU-026,10.0,742.7,74.27,0
2025-12-06,SKU-003,7.0,1875.65,267.95,0
2025-05-01,SKU-050,1.0,200.32,200.32,0
2025-06-15,SKU-051,4.0,236.16,59.04,0
2025-04-22,SKU-044,4.0,500.08,125.02,0
2025-06-14,SKU-047,1.0,46.3,46.3,0
2025-03-26,SKU-016,13.0,365.95,28.15,0
2024-08-01,SKU-044,2.0,250.04,125.02,0
2024-07-14,SKU-038,2.0,166.24,83.12,0
2025-10-27,SKU-054,3.0,651.9,217.3,0
2026-04-14,SKU-016,14.0,394.1,28.15,0
2024-03-24,SKU-038,4.0,332.48,83.12,0
2026-08-10,SKU-017,1.0,36.11,36.11,1
2025-01-02,SKU-020,10.0,610.3,61.03,1
2024-07-08,SKU-003,10.0,2679.5,267.95,0
2026-03-16,SKU-060,16.0,2358.88,147.43,1
2024-05-14,SKU-014,24.0,428.4,17.85,0
2024-12-18,SKU-004,3.0,864.09,288.03,1
2025-07-25,SKU-039,2.0,153.08,76.54,0
2025-06-15,SKU-033,9.0,599.04,66.56,0
2026-07-06,SKU-013,26.0,1805.7,69.45,1
2026-05-22,SKU-038,3.0,249.36,83.12,0
2024-12-24,SKU-007,17.0,5679.02,334.06,1
2026-06-30,SKU-009,1.0,148.6,148.6,0
2026-02-25,SKU-008,1.0,371.2,371.2,0
2026-03-25,SKU-019,2.0,151.14,75.57,0
2026-02-16,SKU-051,4.0,204.96,51.24,1
2024-07-05,SKU-016,21.0,460.95,21.95,1
2026-03-20,SKU-044,2.0,203.8,101.9,1
2024-09-29,SKU-040,1.0,43.75,43.75,0
2026-07-29,SKU-052,11.0,2433.64,221.24,0
2025-11-25,SKU-026,15.0,853.95,56.93,1
2026-08-02,SKU-052,6.0,1327.44,221.24,0
2025-06-18,SKU-033,14.0,931.84,66.56,0
2024-08-16,SKU-013,17.0,1090.38,64.14,1
2026-01-20,SKU-048,6.0,1060.44,176.74,0
2026-04-24,SKU-023,3.0,219.39,73.13,0
2025-10-07,SKU-051,2.0,118.08,59.04,0
2026-04-25,SKU-011,2.0,441.68,220.84,0
2024-05-18,SKU-036,10.0,484.3,48.43,0
2025-07-30,SKU-031,10.0,1424.8,142.48,0
2026-04-03,SKU-052,3.0,663.72,221.24,0
2026-06-20,SKU-007,9.0,3783.33,420.37,0
2025-04-16,SKU-059,3.0,663.18,221.06,0
2025-07-16,SKU-044,1.0,125.02,125.02,0
2024-06-03,SKU-044,1.0,125.02,125.02,0
2026-04-28,SKU-031,13.0,1852.24,142.48,0
2025-02-13,SKU-018,3.0,227.1,75.7,0
2024-02-26,SKU-045,4.0,720.24,180.06,0
2026-01-31,SKU-010,4.0,2368.96,592.24,0
2026-01-03,SKU-033,21.0,1105.44,52.64,1
2025-09-11,SKU-033,14.0,931.84,66.56,0
2024-06-11,SKU-015,7.0,406.21,58.03,0
2026-04-09,SKU-056,1.0,216.25,216.25,0
2026-06-03,SKU-019,2.0,151.14,75.57,0
2025-07-20,SKU-004,3.0,1141.02,380.34,0
2024-10-01,SKU-007,14.0,5885.18,420.37,0
2026-01-03,SKU-056,3.0,508.59,169.53,1
2025-09-16,SKU-028,2.0,53.3,26.65,0
2024-09-26,SKU-010,4.0,2368.96,592.24,0
2026-04-30,SKU-007,12.0,5044.44,420.37,0
2025-03-15,SKU-056,3.0,547.44,182.48,1
2025-09-17,SKU-056,1.0,216.25,216.25,0
2024-07-20,SKU-036,14.0,678.02,48.43,0
2025-04-02,SKU-032,11.0,1030.81,93.71,0
2025-12-23,SKU-039,2.0,135.72,67.86,1
2025-07-09,SKU-045,2.0,360.12,180.06,0
2026-05-01,SKU-007,10.0,4203.7,420.37,0
2025-05-25,SKU-049,0.0,0.0,139.33,0
2025-11-21,SKU-005,2.0,981.2,490.6,0
2024-08-22,SKU-043,9.0,1457.91,161.99,0
2025-01-21,SKU-044,5.0,625.1,125.02,0
2024-03-05,SKU-018,11.0,832.7,75.7,0
2025-03-16,SKU-038,5.0,371.4,74.28,1
2024-12-31,SKU-034,17.0,681.36,40.08,0
2024-10-26,SKU-057,4.0,333.36,83.34,0
2025-01-25,SKU-043,17.0,2753.83,161.99,0
2024-12-16,SKU-060,7.0,1046.92,149.56,1
2026-08-27,SKU-040,3.0,131.25,43.75,0
2025-07-16,SKU-016,13.0,365.95,28.15,0
2026-08-03,SKU-025,17.0,1547.85,91.05,0
2024-07-26,SKU-028,3.0,79.95,26.65,0
2025-05-07,SKU-045,2.0,360.12,180.06,0
2024-08-23,SKU-027,2.0,69.22,34.61,0
2024-11-20,SKU-047,2.0,92.6,46.3,0
2026-03-27,SKU-057,5.0,416.7,83.34,0
2025-04-16,SKU-014,14.0,249.9,17.85,0
