date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU-001,102.0,0,21,55
2024-01-01,SKU-003,63.0,139,25,161
2024-01-01,SKU-004,39.0,94,29,69
2024-01-01,SKU-005,167.0,0,24,51
2024-01-01,SKU-007,29.0,140,38,276
2024-01-01,SKU-008,127.0,0,31,37
2024-01-01,SKU-010,41.0,144,27,121
2024-01-01,SKU-012,143.0,0,41,103
2024-01-01,SKU-013,61.0,124,14,181
2024-01-01,SKU-014,0.0,107,7,94
2024-01-01,SKU-015,17.0,126,11,72
2024-01-01,SKU-016,43.0,108,11,151
2024-01-01,SKU-018,79.0,0,8,75
2024-01-01,SKU-019,61.0,0,8,25
2024-01-01,SKU-020,148.0,0,12,100
2024-01-01,SKU-024,45.0,0,11,44
2024-01-01,SKU-025,20.0,119,12,131
2024-01-01,SKU-026,14.0,143,10,76
2024-01-01,SKU-027,122.0,0,7,31
2024-01-01,SKU-028,96.0,0,17,16
2024-01-01,SKU-032,19.0,52,19,264
2024-01-01,SKU-034,30.0,121,13,208
2024-01-01,SKU-036,27.0,113,17,190
2024-01-01,SKU-037,63.0,0,16,54
2024-01-01,SKU-038,182.0,0,19,57
2024-01-01,SKU-040,159.0,0,15,22
2024-01-01,SKU-041,135.0,0,26,8
2024-01-01,SKU-044,75.0,0,18,49
2024-01-01,SKU-045,108.0,0,24,30
2024-01-01,SKU-047,87.0,0,27,25
2024-01-01,SKU-048,60.0,114,24,107
2024-01-01,SKU-051,82.0,0,20,60
2024-01-01,SKU-052,158.0,0,23,134
2024-01-01,SKU-056,66.0,0,29,26
2024-01-01,SKU-058,55.0,131,25,70
2024-01-01,SKU-060,44.0,87,15,177
2024-01-08,SKU-001,90.0,0,21,55
2024-01-08,SKU-003,44.0,139,25,161
2024-01-08,SKU-004,30.0,94,29,69
2024-01-08,SKU-005,152.0,0,24,51
2024-01-08,SKU-007,0.0,140,38,276
2024-01-08,SKU-008,121.0,0,31,37
2024-01-08,SKU-010,23.0,144,27,121
2024-01-08,SKU-012,125.0,0,41,103
2024-01-08,SKU-013,0.0,124,14,181
2024-01-08,SKU-014,43.0,62,7,94
2024-01-08,SKU-015,109.0,0,11,72
2024-01-08,SKU-016,80.0,108,11,151
2024-01-08,SKU-018,27.0,115,8,75
2024-01-08,SKU-019,48.0,0,8,25
2024-01-08,SKU-020,107.0,0,12,100
2024-01-08,SKU-024,31.0,103,11,44
2024-01-08,SKU-025,87.0,110,12,131
2024-01-08,SKU-026,118.0,0,10,76
2024-01-08,SKU-027,103.0,0,7,31
2024-01-08,SKU-028,86.0,0,17,16
2024-01-08,SKU-032,0.0,52,19,264
2024-01-08,SKU-034,80.0,129,13,208
2024-01-08,SKU-036,0.0,113,17,190
2024-01-08,SKU-037,,133,16,54
2024-01-08,SKU-038,169.0,0,19,57
2024-01-08,SKU-040,153.0,0,15,22
2024-01-08,SKU-041,133.0,0,26,8
2024-01-08,SKU-044,63.0,0,18,49
2024-01-08,SKU-045,107.0,0,24,30
2024-01-08,SKU-047,83.0,0,27,25
2024-01-08,SKU-048,42.0,114,24,107
2024-01-08,SKU-051,68.0,0,20,60
2024-01-08,SKU-052,131.0,150,23,134
2024-01-08,SKU-056,62.0,0,29,26
2024-01-08,SKU-058,42.0,131,25,70
2024-01-08,SKU-060,0.0,87,15,177
2024-01-15,SKU-001,81.0,0,21,55
2024-01-15,SKU-003,18.0,139,25,161
2024-01-15,SKU-004,21.0,94,29,69
2024-01-15,SKU-005,141.0,0,24,51
2024-01-15,SKU-007,0.0,140,38,276
2024-01-15,SKU-008,112.0,0,31,37
2024-01-15,SKU-010,4.0,144,27,121
2024-01-15,SKU-012,111.0,0,41,103
2024-01-15,SKU-013,49.0,78,14,181
2024-01-15,SKU-014,40.0,128,7,94
2024-01-15,SKU-015,76.0,0,11,72
2024-01-15,SKU-016,123.0,148,11,151
2024-01-15,SKU-018,109.0,0,8,75
2024-01-15,SKU-019,,0,8,25
2024-01-15,SKU-020,60.0,77,12,100
2024-01-15,SKU-024,106.0,0,11,44
2024-01-15,SKU-025,144.0,0,12,131
2024-01-15,SKU-026,77.0,0,10,76
2024-01-15,SKU-027,,0,7,31
2024-01-15,SKU-028,77.0,0,17,16
2024-01-15,SKU-032,0.0,105,19,264
2024-01-15,SKU-034,141.0,126,13,208
2024-01-15,SKU-036,58.0,78,17,190
2024-01-15,SKU-037,42.0,133,16,54
2024-01-15,SKU-038,158.0,0,19,57
2024-01-15,SKU-040,147.0,0,15,22
2024-01-15,SKU-041,130.0,0,26,8
2024-01-15,SKU-044,49.0,0,18,49
2024-01-15,SKU-045,96.0,0,24,30
2024-01-15,SKU-047,77.0,0,27,25
2024-01-15,SKU-048,32.0,114,24,107
2024-01-15,SKU-051,49.0,123,20,60
2024-01-15,SKU-052,93.0,150,23,134
2024-01-15,SKU-056,57.0,0,29,26
2024-01-15,SKU-058,29.0,131,25,70
2024-01-15,SKU-060,44.0,88,15,177
2024-01-22,SKU-001,72.0,0,21,55
2024-01-22,SKU-003,125.0,144,25,161
2024-01-22,SKU-004,4.0,94,29,69
2024-01-22,SKU-005,131.0,0,24,51
2024-01-22,SKU-007,0.0,140,38,276
2024-01-22,SKU-008,110.0,0,31,37
2024-01-22,SKU-010,132.0,0,27,121
2024-01-22,SKU-012,90.0,145,41,103
2024-01-22,SKU-013,0.0,78,14,181
2024-01-22,SKU-014,119.0,0,7,94
2024-01-22,SKU-015,48.0,126,11,72
2024-01-22,SKU-016,203.0,0,11,151
2024-01-22,SKU-018,50.0,125,8,75
2024-01-22,SKU-019,26.0,0,8,25
2024-01-22,SKU-020,95.0,134,12,100
2024-01-22,SKU-024,83.0,0,11,44
2024-01-22,SKU-025,92.0,92,12,131
2024-01-22,SKU-026,44.0,112,10,76
2024-01-22,SKU-027,65.0,0,7,31
2024-01-22,SKU-028,75.0,0,17,16
2024-01-22,SKU-032,0.0,105,19,264
2024-01-22,SKU-034,177.0,73,13,208
2024-01-22,SKU-036,12.0,78,17,190
2024-01-22,SKU-037,167.0,0,16,54
2024-01-22,SKU-038,141.0,0,19,57
2024-01-22,SKU-040,141.0,0,15,22
2024-01-22,SKU-041,129.0,0,26,8
2024-01-22,SKU-044,42.0,53,18,49
2024-01-22,SKU-045,88.0,0,24,30
2024-01-22,SKU-047,72.0,0,27,25
2024-01-22,SKU-048,119.0,0,24,107
2024-01-22,SKU-051,27.0,123,20,60
2024-01-22,SKU-052,72.0,150,23,134
2024-01-22,SKU-056,52.0,0,29,26
2024-01-22,SKU-058,156.0,0,25,70
2024-01-22,SKU-060,3.0,88,15,177
2024-01-29,SKU-001,61.0,0,21,55
2024-01-29,SKU-003,94.0,144,25,161
2024-01-29,SKU-004,91.0,0,29,69
2024-01-29,SKU-005,117.0,0,24,51
2024-01-29,SKU-007,0.0,140,38,276
2024-01-29,SKU-008,102.0,0,31,37
2024-01-29,SKU-010,118.0,66,27,121
2024-01-29,SKU-012,73.0,145,41,103
2024-01-29,SKU-013,33.0,56,14,181
2024-01-29,SKU-014,62.0,76,7,94
2024-01-29,SKU-015,142.0,0,11,72
