sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,snapshot_date,avg_weekly_demand,total_8week_demand,total_available,avg_daily_demand,days_of_supply,unit_cost,weeks_of_supply,risk_level,stockout_risk_score,overstock_risk_score,recommendation,action_description
SKU-001,95.0,0,21,55,2026-08-31,14.411610216675063,115.2928817334005,95.0,2.058801459525009,46.143351783866365,85.91,6.591907397695195,MEDIUM,12.1,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-002,87.0,132,26,97,2026-08-31,10.60893251534505,84.8714601227604,219.0,1.5155617879064356,144.50087205122918,81.76,20.64298172160417,LOW,0.0,70.2,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-003,131.0,86,25,161,2026-08-31,30.02932820255995,240.2346256204796,217.0,4.289904028937135,50.58388218856351,134.33,7.226268884080501,MEDIUM,19.1,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-004,129.0,0,29,69,2026-08-31,15.20136074402973,121.61088595223784,129.0,2.1716229634328186,59.402576861722686,186.61,8.486082408817527,MEDIUM,18.1,2.7,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-005,63.0,0,24,51,2026-08-31,12.798076623696863,102.3846129895749,63.0,1.8282966605281232,34.45830283461863,241.01,4.922614690659804,HIGH,42.6,0.0,Reorder,Issue purchase order to prevent stockout
SKU-006,56.0,149,28,307,2026-08-31,41.049719166902484,328.3977533352199,205.0,5.864245595271783,34.957608215673496,60.31,4.993944030810499,HIGH,50.1,0.0,Reorder,Issue purchase order to prevent stockout
SKU-007,0.0,108,38,276,2026-08-31,5.79674095734108,46.37392765872864,108.0,0.8281058510487257,130.4181100317395,193.24,18.631158575962786,LOW,0.0,59.1,Healthy,Inventory position is optimal
SKU-008,89.0,0,31,37,2026-08-31,9.983119573440026,79.86495658752021,89.0,1.426159939062861,62.40534288074483,155.93,8.915048982963548,MEDIUM,19.5,5.1,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-009,76.0,0,45,33,2026-08-31,4.694962759548214,37.55970207638571,76.0,0.6707089656497448,113.31293287003479,80.38,16.187561838576396,LOW,0.0,45.5,Healthy,Inventory position is optimal
SKU-010,39.0,105,27,121,2026-08-31,17.22820965705283,137.82567725642264,144.0,2.4611728081504043,58.50869127236028,246.9,8.35838446748004,MEDIUM,13.3,2.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-011,65.0,0,25,27,2026-08-31,4.766515235766727,38.13212188613382,65.0,0.6809307479666753,95.45757801963893,98.37,13.636796859948419,LOW,0.0,31.3,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-012,124.0,0,41,103,2026-08-31,15.04253926523162,120.34031412185296,124.0,2.148934180747374,57.70302371795969,117.74,8.24328910256567,HIGH,43.7,1.4,Reorder,Issue purchase order to prevent stockout
SKU-013,0.0,142,14,181,2026-08-31,59.07926530797029,472.6341224637623,142.0,8.439895043995756,16.824853775998143,33.76,2.403550539428306,HIGH,51.9,0.0,Reorder,Issue purchase order to prevent stockout
SKU-014,148.0,0,7,94,2026-08-31,60.778701692294845,486.22961353835876,148.0,8.682671670327835,17.045444722478134,7.32,2.4350635317825904,MEDIUM,2.6,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-015,77.0,0,11,72,2026-08-31,28.125304510819156,225.00243608655325,77.0,4.0179006444027365,19.164236952266922,27.94,2.7377481360381317,MEDIUM,30.3,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-016,192.0,0,11,151,2026-08-31,59.62361899813459,476.9889519850767,192.0,8.517659856876369,22.541402594868472,14.27,3.2202003706954963,MEDIUM,18.0,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-017,29.0,0,14,7,2026-08-31,3.5719066396632084,28.575253117305667,29.0,0.510272377094744,56.832392466769704,20.0,8.11891320953853,LOW,0.0,0.7,Healthy,Inventory position is optimal
SKU-018,74.0,115,8,75,2026-08-31,46.28622855470712,370.289828437657,189.0,6.612318364958161,28.58301575459546,39.91,4.083287964942209,LOW,0.0,0.0,Healthy,Inventory position is optimal
SKU-019,35.0,0,8,25,2026-08-31,13.615009624621193,108.92007699696954,35.0,1.9450013749458848,17.994845891033776,31.45,2.570692270147682,MEDIUM,10.0,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-020,195.0,0,12,100,2026-08-31,42.42493709243848,339.39949673950787,195.0,6.060705298919784,32.1744731648238,32.72,4.596353309260543,LOW,0.0,0.0,Healthy,Inventory position is optimal
SKU-021,49.0,0,14,28,2026-08-31,7.303513641703975,58.4281091336318,49.0,1.0433590916719964,46.963696766639444,18.36,6.709099538091349,LOW,0.0,0.0,Healthy,Inventory position is optimal
SKU-022,230.0,0,13,186,2026-08-31,50.29187856920799,402.3350285536639,230.0,7.184554081315427,32.0131211202309,35.13,4.573303017175843,MEDIUM,1.5,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-023,70.0,0,13,14,2026-08-31,4.122964600868527,32.983716806948216,70.0,0.5889949429812181,118.8465212378439,31.28,16.978074462549127,LOW,0.0,49.9,Markdown,Initiate promotional clearance/discount to recover working capital
SKU-024,44.0,0,11,44,2026-08-31,22.302429414091282,178.41943531273026,44.0,3.186061344870183,13.81015468231444,15.27,1.9728792403306343,HIGH,49.8,0.0,Reorder,Issue purchase order to prevent stockout
SKU-025,129.0,99,12,131,2026-08-31,44.339685556483175,354.7174844518654,228.0,6.3342407937833105,35.99484254273516,39.02,5.142120363247879,LOW,0.0,0.0,Healthy,Inventory position is optimal
SKU-026,121.0,0,10,76,2026-08-31,37.46526346185788,299.72210769486304,121.0,5.352180494551126,22.60760826791735,34.46,3.229658323988193,MEDIUM,9.6,0.0,Watch,Monitor sales velocity and supplier lead-time buffers
SKU-027,54.0,0,7,31,2026-08-31,20.93465312731996,167.4772250185597,54.0,2.99066473247428,18.056186443648578,18.09,2.579455206235511,LOW,0.0,0.0,Healthy,Inventory position is optimal
